treatment,species,site,deformities
no_filter,cascade_frog,2,42
no_filter,cascade_frog,2,50.7
no_filter,cascade_frog,2,32.7
no_filter,cascade_frog,2,44
no_filter,cascade_frog,3,54
no_filter,cascade_frog,3,54.7
no_filter,cascade_frog,3,48
no_filter,cascade_frog,3,36.7
UV_blocking,cascade_frog,2,18.7
UV_blocking,cascade_frog,2,17.3
UV_blocking,cascade_frog,2,16
UV_blocking,cascade_frog,2,4.7
UV_blocking,cascade_frog,3,12.7
UV_blocking,cascade_frog,3,17.3
UV_blocking,cascade_frog,3,31.3
UV_blocking,cascade_frog,3,17.3
UV_transmitting,cascade_frog,2,47.3
UV_transmitting,cascade_frog,2,22
UV_transmitting,cascade_frog,2,37.3
UV_transmitting,cascade_frog,2,43.3
UV_transmitting,cascade_frog,3,46
UV_transmitting,cascade_frog,3,46.7
UV_transmitting,cascade_frog,3,36
UV_transmitting,cascade_frog,3,35.3
no_filter,toad,1,6
no_filter,toad,1,4.7
no_filter,toad,1,0.7
no_filter,toad,1,0.9
no_filter,toad,2,1.5
no_filter,toad,2,0.8
no_filter,toad,2,2.9
no_filter,toad,2,3.9
UV_blocking,toad,1,4.7
UV_blocking,toad,1,0.7
UV_blocking,toad,1,4.7
UV_blocking,toad,1,0.7
UV_blocking,toad,2,4.5
UV_blocking,toad,2,0
UV_blocking,toad,2,0
UV_blocking,toad,2,0
UV_transmitting,toad,1,0.9
UV_transmitting,toad,1,6.7
UV_transmitting,toad,1,2.7
UV_transmitting,toad,1,0.7
UV_transmitting,toad,2,0.7
UV_transmitting,toad,2,2.1
UV_transmitting,toad,2,0
UV_transmitting,toad,2,1.4
no_filter,tree_frog,3,36.7
no_filter,tree_frog,3,69.6
no_filter,tree_frog,3,39.3
no_filter,tree_frog,3,34
no_filter,tree_frog,1,38.7
no_filter,tree_frog,1,44
no_filter,tree_frog,1,30
no_filter,tree_frog,1,38.7
UV_blocking,tree_frog,3,24.7
UV_blocking,tree_frog,3,25.3
UV_blocking,tree_frog,3,39.3
UV_blocking,tree_frog,3,32.7
UV_blocking,tree_frog,1,25.3
UV_blocking,tree_frog,1,18.7
UV_blocking,tree_frog,1,21.3
UV_blocking,tree_frog,1,16.7
UV_transmitting,tree_frog,3,70
UV_transmitting,tree_frog,3,54
UV_transmitting,tree_frog,3,48.7
UV_transmitting,tree_frog,3,51.3
UV_transmitting,tree_frog,1,28.7
UV_transmitting,tree_frog,1,32.7
UV_transmitting,tree_frog,1,36
UV_transmitting,tree_frog,1,40.7
