SurvTime,Ag_dist,majroad_dist,turb_dist
5,487.4305115,1988.683594,1040.039429
13,1241.484619,2544,1946.931152
10,42.93250656,4926.231445,4482.912598
8,4317.065918,403.2000122,5057.669922
23,118.7454453,5232.563965,4292.789063
23,243.052597,3446.400146,594.3477783
23,240.0000153,2169.600098,549.5528564
18,412.8000183,2928,899.7407837
9,762.2787476,9004.800781,912.8081055
2,963.0671387,7440.898438,1266.508911
8,1156.670532,8644.798828,1302.384277
11,2604.361816,10550.40039,2786.333008
4,2159.039795,5775.547363,2532.435791
23,834.7585449,8466.623047,2705.786865
23,240.7667847,4494.133301,1189.35437
23,115.2000046,5747.474609,544.583252
1,1099.147583,7637.963379,1422.161621
11,1627.362915,10622.81152,7263.369629
16,554.8933105,2184.522217,2643.924561
23,907.1365356,3085.067383,1159.813599
23,422.4000244,3518.08252,610.1855469
5,172.8000031,7290.351563,999.2304688
12,1089.927734,3341.47583,3502.82959
3,2028.873291,10083.58398,6228.832031
23,817.5233154,5577.600098,5598.833496
22,1863.612061,8901.483398,5256.98877
22,741.1300049,7583.258789,1361.982666
2,748.8000488,10569.60059,819.156311
1,2058.343994,10464.00488,2240.484619
22,643.2000122,2726.552246,1211.046753
23,506.6217651,3298.826172,1344.548462
